School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Delaware State,1974,2025,delaware-state
Denison Big Red,1905,1944,denison
Denver,1904,2025,denver
DePaul,1924,2025,depaul
DePauw Tigers,1916,1932,depauw
Detroit Mercy,1910,2025,detroit-mercy
Dickinson College Red Devils,1926,1947,dickinson-college
Drake,1907,2025,drake
Drexel,1895,2025,drexel
Duke,1906,2025,duke
Duquesne,1914,2025,duquesne
East Carolina,1967,2025,east-carolina
East Central Tigers,1929,1931,east-central
East Tennessee State,1959,2025,east-tennessee-state
East Texas A&M,2023,2025,texas-am-commerce
Eastern Illinois,1982,2025,eastern-illinois
Eastern Kentucky,1948,2025,eastern-kentucky
Eastern Michigan,1933,2025,eastern-michigan
Eastern Washington,1984,2025,eastern-washington
Elon,2000,2025,elon
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Emporia State Hornets,1934,1934,emporia-state
Ensign College,1903,1903,latter-day-saints-university
Evansville,1925,2025,evansville
Fairfield,1965,2025,fairfield
FDU,1968,2025,fairleigh-dickinson
Florida,1921,2025,florida
Florida A&M,1980,2025,florida-am
Florida Atlantic,1994,2025,florida-atlantic
Florida Gulf Coast,2011,2025,florida-gulf-coast
Florida International,1988,2025,florida-international
Florida State,1957,2025,florida-state
Fordham,1903,2025,fordham
Franklin Grizzlies,1907,1925,franklin
Fresno State,1956,2025,fresno-state
Furman,1920,2025,furman
Gardner-Webb,2003,2025,gardner-webb
Geneva Golden Tornadoes,1893,1943,geneva
George Mason,1979,2025,george-mason
George Washington,1913,2025,george-washington
Georgetown,1907,2025,georgetown
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
